timestamp,cpu_utilization,hour,day_of_week,cpu_rolling_mean_5,cpu_rolling_std_5,anomaly_label,anomaly_score
2014-02-14 14:30:00,0.132,14,4,0.1336,0.0008944271909999,1,0.2635917710220085
2014-02-14 14:35:00,0.134,14,4,0.1336,0.0008944271909999,1,0.2785013839449013
2014-02-14 14:40:00,0.134,14,4,0.1336,0.0008944271909999,1,0.2785013839449013
2014-02-14 14:45:00,0.134,14,4,0.1336,0.0008944271909999,1,0.2785013839449013
2014-02-14 14:50:00,0.134,14,4,0.1336,0.0008944271909999,1,0.2785013839449013
2014-02-14 14:55:00,0.134,14,4,0.134,0.0,1,0.2653641133277481
2014-02-14 15:00:00,0.134,15,4,0.134,0.0,1,0.2677488629952112
2014-02-14 15:05:00,0.134,15,4,0.134,0.0,1,0.2677488629952112
2014-02-14 15:10:00,0.066,15,4,0.1204,0.0304105244939971,1,0.26492680924653783
2014-02-14 15:15:00,0.132,15,4,0.12,0.030199337741083,1,0.3305423955319883
2014-02-14 15:20:00,0.134,15,4,0.12,0.030199337741083,1,0.33925435586590946
2014-02-14 15:25:00,0.066,15,4,0.1064,0.0368890227574545,1,0.2598895785164426
2014-02-14 15:30:00,0.132,15,4,0.106,0.0365239647354993,1,0.27655820544005527
2014-02-14 15:35:00,0.2019999999999999,15,4,0.1331999999999999,0.0480957378569036,1,0.18463927841944472
2014-02-14 15:40:00,0.068,15,4,0.1203999999999999,0.0563098570411965,1,0.1960060382718286
2014-02-14 15:45:00,0.134,15,4,0.1203999999999999,0.0563098570411965,1,0.272758449914684
2014-02-14 15:50:00,0.132,15,4,0.1336,0.0474004219390502,1,0.26119176925103216
2014-02-14 15:55:00,0.134,15,4,0.1339999999999999,0.0473919824442911,1,0.26941895023553863
2014-02-14 16:00:00,0.134,16,4,0.1204,0.0293052896249124,1,0.3369496968272967
2014-02-14 16:05:00,0.136,16,4,0.1339999999999999,0.0014142135623729,1,0.2465704849162706
2014-02-14 16:10:00,0.132,16,4,0.1336,0.001673320053068,1,0.25781317390799596
2014-02-14 16:15:00,0.134,16,4,0.1339999999999999,0.0014142135623729,1,0.27042057475111814
2014-02-14 16:20:00,0.134,16,4,0.134,0.0014142135623729,1,0.27042057475111814
2014-02-14 16:25:00,0.066,16,4,0.1204,0.0304433900871765,1,0.26453677734678654
2014-02-14 16:30:00,0.134,16,4,0.12,0.030199337741083,1,0.3369496968272967
2014-02-14 16:35:00,0.134,16,4,0.1204,0.0304105244939971,1,0.3374845638517429
2014-02-14 16:40:00,0.066,16,4,0.1068,0.0372451339103513,1,0.25706947985442813
2014-02-14 16:45:00,0.134,16,4,0.1068,0.0372451339103513,1,0.28205938937097785
2014-02-14 16:50:00,0.134,16,4,0.1204,0.0304105244939971,1,0.3374845638517429
2014-02-14 16:55:00,0.134,16,4,0.1204,0.0304105244939971,1,0.3374845638517429
2014-02-14 17:00:00,0.132,17,4,0.12,0.030199337741083,1,0.33095709167722553
2014-02-14 17:05:00,0.136,17,4,0.1339999999999999,0.0014142135623729,1,0.25000178930790734
2014-02-14 17:10:00,0.134,17,4,0.134,0.0014142135623729,1,0.2760668540338891
2014-02-14 17:15:00,0.134,17,4,0.1339999999999999,0.0014142135623729,1,0.2760668540338891
2014-02-14 17:20:00,0.132,17,4,0.1336,0.001673320053068,1,0.2625721518105389
2014-02-14 17:25:00,0.132,17,4,0.1336,0.001673320053068,1,0.2625721518105389
2014-02-14 17:30:00,0.134,17,4,0.1332,0.0010954451150101,1,0.28303034288198303
2014-02-14 17:35:00,0.134,17,4,0.1331999999999999,0.0010954451150101,1,0.28303034288198303
2014-02-14 17:40:00,0.066,17,4,0.1196,0.0299799933288852,1,0.2615864942180654
2014-02-14 17:45:00,0.134,17,4,0.12,0.030199337741083,1,0.3412832650661958
2014-02-14 17:50:00,0.134,17,4,0.1204,0.0304105244939971,1,0.34008805509345225
2014-02-14 17:55:00,0.2019999999999999,17,4,0.1339999999999999,0.0480832611206851,1,0.17276729187183093
2014-02-14 18:00:00,0.134,18,4,0.1339999999999999,0.0480832611206851,1,0.26371724254824913
2014-02-14 18:05:00,0.134,18,4,0.1475999999999999,0.030410524493997,1,0.25883277474300465
2014-02-14 18:10:00,0.134,18,4,0.1475999999999999,0.030410524493997,1,0.25883277474300465
2014-02-14 18:15:00,0.068,18,4,0.1344,0.0473793203834752,1,0.17594325875980643
