timestamp,cpu_utilization,hour,day_of_week,cpu_rolling_mean_5,cpu_rolling_std_5
2014-02-14 14:30:00,0.132,14,4,0.1336,0.0008944271909999194
2014-02-14 14:35:00,0.134,14,4,0.1336,0.0008944271909999194
2014-02-14 14:40:00,0.134,14,4,0.1336,0.0008944271909999194
2014-02-14 14:45:00,0.134,14,4,0.1336,0.0008944271909999194
2014-02-14 14:50:00,0.134,14,4,0.1336,0.0008944271909999194
2014-02-14 14:55:00,0.134,14,4,0.134,0.0
2014-02-14 15:00:00,0.134,15,4,0.134,0.0
2014-02-14 15:05:00,0.134,15,4,0.134,0.0
2014-02-14 15:10:00,0.066,15,4,0.12040000000000002,0.030410524493997143
2014-02-14 15:15:00,0.132,15,4,0.12000000000000002,0.030199337741083
2014-02-14 15:20:00,0.134,15,4,0.12000000000000002,0.030199337741083
2014-02-14 15:25:00,0.066,15,4,0.10640000000000001,0.03688902275745456
2014-02-14 15:30:00,0.132,15,4,0.10600000000000001,0.03652396473549935
2014-02-14 15:35:00,0.2019999999999999,15,4,0.13319999999999999,0.048095737856903666
2014-02-14 15:40:00,0.068,15,4,0.12039999999999998,0.05630985704119657
2014-02-14 15:45:00,0.134,15,4,0.12039999999999998,0.05630985704119657
2014-02-14 15:50:00,0.132,15,4,0.1336,0.04740042193905025
2014-02-14 15:55:00,0.134,15,4,0.13399999999999998,0.0473919824442911
2014-02-14 16:00:00,0.134,16,4,0.12040000000000002,0.029305289624912436
2014-02-14 16:05:00,0.136,16,4,0.13399999999999998,0.0014142135623729283
2014-02-14 16:10:00,0.132,16,4,0.13360000000000002,0.0016733200530680164
2014-02-14 16:15:00,0.134,16,4,0.13399999999999998,0.0014142135623729283
2014-02-14 16:20:00,0.134,16,4,0.13400000000000004,0.0014142135623729283
2014-02-14 16:25:00,0.066,16,4,0.1204,0.03044339008717657
2014-02-14 16:30:00,0.134,16,4,0.12000000000000002,0.030199337741083007
2014-02-14 16:35:00,0.134,16,4,0.12040000000000002,0.030410524493997147
2014-02-14 16:40:00,0.066,16,4,0.1068,0.037245133910351315
2014-02-14 16:45:00,0.134,16,4,0.1068,0.037245133910351315
2014-02-14 16:50:00,0.134,16,4,0.12040000000000002,0.03041052449399715
2014-02-14 16:55:00,0.134,16,4,0.12040000000000002,0.03041052449399715
2014-02-14 17:00:00,0.132,17,4,0.12000000000000002,0.030199337741083007
2014-02-14 17:05:00,0.136,17,4,0.13399999999999998,0.0014142135623729283
2014-02-14 17:10:00,0.134,17,4,0.13400000000000004,0.0014142135623729283
2014-02-14 17:15:00,0.134,17,4,0.13399999999999998,0.0014142135623729283
2014-02-14 17:20:00,0.132,17,4,0.13360000000000002,0.0016733200530680164
2014-02-14 17:25:00,0.132,17,4,0.1336,0.0016733200530680164
2014-02-14 17:30:00,0.134,17,4,0.13320000000000004,0.001095445115010132
2014-02-14 17:35:00,0.134,17,4,0.13319999999999999,0.001095445115010132
2014-02-14 17:40:00,0.066,17,4,0.11960000000000001,0.029979993328885204
2014-02-14 17:45:00,0.134,17,4,0.12000000000000002,0.030199337741083018
2014-02-14 17:50:00,0.134,17,4,0.12040000000000002,0.030410524493997157
2014-02-14 17:55:00,0.2019999999999999,17,4,0.13399999999999998,0.048083261120685186
2014-02-14 18:00:00,0.134,18,4,0.13399999999999998,0.048083261120685186
2014-02-14 18:05:00,0.134,18,4,0.14759999999999998,0.030410524493997053
2014-02-14 18:10:00,0.134,18,4,0.14759999999999998,0.030410524493997053
2014-02-14 18:15:00,0.068,18,4,0.1344,0.04737932038347528
2014-02-14 18:20:00,0.132,18,4,0.12040000000000002,0.029305289624912464
2014-02-14 18:25:00,0.134,18,4,0.12040000000000002,0.029305289624912464
2014-02-14 18:30:00,0.134,18,4,0.12040000000000002,0.029305289624912464
2014-02-14 18:35:00,0.134,18,4,0.12040000000000002,0.029305289624912464
2014-02-14 18:40:00,0.134,18,4,0.1336,0.0008944271910000866
2014-02-14 18:45:00,0.134,18,4,0.134,5.094209646402836e-10
2014-02-14 18:50:00,0.134,18,4,0.134,5.094209646402836e-10
2014-02-14 18:55:00,0.134,18,4,0.134,5.094209646402836e-10
2014-02-14 19:00:00,0.066,19,4,0.1204,0.030410524493997167
2014-02-14 19:05:00,0.134,19,4,0.12040000000000002,0.030410524493997167
2014-02-14 19:10:00,0.134,19,4,0.12040000000000002,0.030410524493997167
2014-02-14 19:15:00,0.134,19,4,0.12040000000000002,0.030410524493997167
2014-02-14 19:20:00,0.066,19,4,0.1068,0.03724513391035134
2014-02-14 19:25:00,0.132,19,4,0.12000000000000002,0.03019933774108303
